plane_type,job_id,source,distance_nm,pay_per_hour,xp_per_hour,balance_score,pay,xp,FlightHrs,Speed,MinAp,route,legs_count
VSKYLABS Skyscenders 76,a4af802c-9332-464a-a630-0c02779dc2b2,fbo:883bbd19-9d64-465d-9711-bbd4c26ddc66,820.88,187508.83,49.90,0.343236,154077.00,41.00,0.82,999,5,"KMEM, KEWR",1
VSKYLABS Skyscenders 76,3755de61-0529-42a2-8c7c-2398e5be40fa,fbo:9f57f348-4cff-4448-a325-48301fb67ec1,700.89,272335.84,49.89,0.385601,191068.50,35.00,0.70,999,0,"WYTOP, KHUL, CNL3, WYTOP",3
VSKYLABS Skyscenders 76,3956af93-42c7-4690-b700-8f1b5c879c39,fbo:b2868468-2061-4c06-92db-2209025e23f7,2082.99,2784.79,49.88,0.250784,5806.50,104.00,2.09,999,1,"KLRG, CYYT, CYVO, KLRG",3
VSKYLABS Skyscenders 76,b712537f-a98b-4b4d-88de-e7dccc613229,fbo:b2868468-2061-4c06-92db-2209025e23f7,2304.06,2513.04,49.86,0.250566,5796.00,115.00,2.31,999,1,"KLRG, KNHK, KDAB, KNRB, KLRG",4
VSKYLABS Skyscenders 76,8cb49c38-5b44-4f4a-b6c4-402d701054d8,fbo:9f57f348-4cff-4448-a325-48301fb67ec1,801.86,288918.71,49.83,0.393631,231903.00,40.00,0.80,999,0,"WYTOP, CYMT, CYBC, WYTOP",3
VSKYLABS Skyscenders 76,38ea814c-4a93-427b-8043-2a3ef887537d,fbo:b2868468-2061-4c06-92db-2209025e23f7,1363.45,2484.96,49.82,0.250361,3391.50,68.00,1.36,999,1,"KLRG, KNHK, KPIT, KLRG",3
VSKYLABS Skyscenders 76,fdc752b7-954d-4898-9d92-d86270d99bfc,fbo:b2868468-2061-4c06-92db-2209025e23f7,501.30,6382.04,49.82,0.252295,3202.50,25.00,0.50,999,1,"KLRG, KBTV, CYRQ, KLRG",3
VSKYLABS Skyscenders 76,595556cb-053e-4fb4-845e-733c25a7af9b,fbo:b2868468-2061-4c06-92db-2209025e23f7,962.66,4772.59,49.81,0.251445,4599.00,48.00,0.96,999,1,"KLRG, CYZX, KMHT, CYRQ, CYUL, KLRG",5
Vertigo - Turbo Prop Racer,c2de5465-20ec-4765-aab9-7c30d6f49642,fbo:9f57f348-4cff-4448-a325-48301fb67ec1,487.97,177877.85,15.74,0.167632,271246.50,24.00,1.52,320,0,"WYTOP, CYSU, CYES, WYTOP",3
Vertigo - Turbo Prop Racer,97b950a8-3a09-4070-8020-375684e6f1c3,fbo:9f57f348-4cff-4448-a325-48301fb67ec1,826.08,152190.41,15.88,0.155507,392878.50,41.00,2.58,320,0,"WYTOP, CPU6, CYQB, WYTOP",3
Vertigo - Turbo Prop Racer,44e14658-bc8f-45f6-a188-3a08868b826b,fbo:9f57f348-4cff-4448-a325-48301fb67ec1,860.39,127957.43,15.62,0.142082,344043.00,42.00,2.69,320,0,"WYTOP, 1B9, CYSU, WYTOP",3
Vertigo - Turbo Prop Racer,9aaa1ead-f1a4-4a26-84a4-eff5d00e2f3b,fbo:9f57f348-4cff-4448-a325-48301fb67ec1,608.65,118809.81,15.77,0.138268,225981.00,30.00,1.90,320,0,"WYTOP, CYBC, WYTOP, CYES, WYTOP",4
Vertigo - Turbo Prop Racer,b343b7e9-5364-4803-9524-1748da977128,fbo:9f57f348-4cff-4448-a325-48301fb67ec1,765.46,99382.51,15.89,0.129120,237730.50,38.00,2.39,320,0,"WYTOP, CYQY, CCS3, CCR3, WYTOP",4
